Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,01Jul2015,Eastern,"9,856,201","11,472,894","10,999,189","-143,815",,,,,,,,,,,"-159,695","164,521","4,826","-164,161","4,466",,,,,,,,,,,,,,,,,,
US48,02Jul2015,Eastern,"10,527,606","11,652,212","11,387,400","-144,521",,,,,,,,,,,"-153,089","160,188","7,099","-157,917","4,828",,,,,,,,,,,,,,,,,,
US48,03Jul2015,Eastern,"9,883,917","10,980,445","10,767,687","-139,773",,,,,,,,,,,"-143,047","149,927","6,880","-148,889","5,842",,,,,,,,,,,,,,,,,,
US48,04Jul2015,Eastern,"9,296,209","10,545,918","10,345,864","-118,262",,,,,,,,,,,"-128,783","131,118","2,335","-131,106","2,323",,,,,,,,,,,,,,,,,,
US48,05Jul2015,Eastern,"9,449,163","10,825,291","10,619,978","-126,384",,,,,,,,,,,"-127,656","129,373","1,717","-129,030","1,374",,,,,,,,,,,,,,,,,,
US48,06Jul2015,Eastern,"10,612,471","12,218,513","11,965,137","-172,470",,,,,,,,,,,"-149,071","154,009","4,938","-153,438","4,367",,,,,,,,,,,,,,,,,,
US48,07Jul2015,Eastern,"10,608,739","12,324,240","12,080,677","-191,571",,,,,,,,,,,"-168,076","173,022","4,946","-172,413","4,337",,,,,,,,,,,,,,,,,,
US48,08Jul2015,Eastern,"10,506,400","12,097,141","11,947,465","-180,759",,,,,,,,,,,"-173,484","179,200","5,716","-178,191","4,707",,,,,,,,,,,,,,,,,,
US48,09Jul2015,Eastern,"10,503,930","12,212,985","11,981,542","-180,130",,,,,,,,,,,"-157,418","163,136","5,718","-161,490","4,072",,,,,,,,,,,,,,,,,,
US48,10Jul2015,Eastern,"10,525,193","12,260,060","12,032,928","-172,347",,,,,,,,,,,"-156,838","160,825","3,987","-159,522","2,684",,,,,,,,,,,,,,,,,,
US48,11Jul2015,Eastern,"10,247,421","11,796,816","11,562,062","-155,349",,,,,,,,,,,"-165,231","166,788","1,557","-166,351","1,120",,,,,,,,,,,,,,,,,,
US48,12Jul2015,Eastern,"10,319,759","11,825,212","11,584,165","-151,581",,,,,,,,,,,"-173,875","175,485","1,610","-173,996",121,,,,,,,,,,,,,,,,,,
US48,13Jul2015,Eastern,"11,281,760","13,008,458","12,738,418","-160,652",,,,,,,,,,,"-177,394","178,889","1,495","-178,379",985,,,,,,,,,,,,,,,,,,
US48,14Jul2015,Eastern,"11,443,520","13,045,114","12,776,837","-167,138",,,,,,,,,,,"-177,477","178,750","1,273","-178,405",928,,,,,,,,,,,,,,,,,,
